Registration;Manuf.;Model;Type;c/n;l/n;Reg/Opr;SELC;built;delivery;until;status
HB-IYU;British Aerospace;Avro RJ-100;RJ1H;E3379;;SWR;;2000;2006-02;2017;reregistered
HB-IYW;British Aerospace;Avro RJ-100;RJ1H;E3359;;SWR;;1999;2002-03-31;2005;to other opr
HB-IYX;British Aerospace;Avro RJ-100;RJ1H;E3357;;SWR;;1999;2002-03-31;2005;reregistered
HB-IYZ;British Aerospace;Avro RJ-100;RJ1H;E3338;;SWR;;1998;;2005;to other opr
HB-IZA;Saab;2000;SB20;2000-004;;SWR;;1993;2002-03-31;2004;reregistered
HB-IZB;Saab-Scania;2000;SB20;2000-005;;SWR;;1993;2002-03-31;2003;reregistered
HB-IZC;Saab-Scania;2000;SB20;2000-006;;SWR;;1993;2002-03-31;2003;reregistered
HB-IZD;Saab-Scania;2000;SB20;2000-007;;SWR;;1993;2002-03-31;2004;reregistered
HB-IZE;Saab-Scania;2000;SB20;2000-008;;SWR;;1993;2002-03-31;2003;reregistered
HB-IZF;Saab-Scania;2000;SB20;2000-009;;SWR;;1994;2002-03-31;2003;reregistered
HB-IZG;Saab-Scania;2000;SB20;2000-010;;SWR;;1994;2002-03-31;2004;to other opr
HB-IZH;Saab-Scania;2000;SB20;2000-011;;SWR;;1994;2002-03-31;2004;to other opr
HB-IZI;Saab-Scania;2000;SB20;2000-012;;SWR;;1995;2002-03-31;2004;reregistered
HB-IZJ;Saab-Scania;2000;SB20;2000-015;;SWR;;1995;2002-03-31;2005;to other opr
HB-IZK;Saab-Scania;2000;SB20;2000-018;;SWR;;1995;2002-03-31;2005;reregistered
HB-IZL;Saab-Scania;2000;SB20;2000-022;;SWR;;1995;2002-03-31;2004;reregistered
HB-IZM;Saab-Scania;2000;SB20;2000-024;;SWR;;1995;2002-03-31;2005;reregistered
HB-IZN;Saab-Scania;2000;SB20;2000-026;;SWR;;1995;2002-03-31;2004;reregistered
HB-IZO;Saab-Scania;2000;SB20;2000-029;;SWR;;1995;2002-03-31;2007;reregistered
HB-IZR;Saab-Scania;2000;SB20;2000-033;;SWR;;1996;2002-03-31;2005;reregistered
HB-IZS;Saab-Scania;2000;SB20;2000-035;;SWR;;1996;2002-03-31;2003;reregistered
HB-IZU;Saab-Scania;2000;SB20;2000-037;;SWR;;1996;2002-03-31;2002;reregistered
HB-IZV;Saab-Scania;2000;SB20;2000-038;;SWR;;1996;2002-03-31;2003;reregistered
HB-IZW;Saab-Scania;2000;SB20;2000-039;;SWR;;1996;2002-03-31;2004;reregistered
HB-IZX;Saab-Scania;2000;SB20;2000-041;;SWR;;1996;2002-03-31;2004;reregistered
HB-IZY;Saab-Scania;2000;SB20;2000-047;;SWR;;1997;2002-03-31;2002;written off
HB-IZZ;Saab-Scania;2000;SB20;2000-048;;SWR;;1997;2002-03-31;2005;to other opr
HB-JAA;EMBRAER;ERJ-145LU ->LR;E145;145232;;SWR;;2000;2002-03-31;2003;reregistered
HB-JAB;EMBRAER;ERJ-145LU/LR;E145;145240;;SWR;;2000;2002-03-31;2003;reregistered
HB-JAD;EMBRAER;ERJ-145LU;E145;145269;;SWR;;2000;2002-03-31;2003;reregistered
HB-JAI;EMBRAER;ERJ-145LU;E145;145351;;SWR;;2000;2002-03-31;2003;to other opr
HB-JAJ;EMBRAER;ERJ-145LR;E145;145382;;SWR;;2001;2002-03-31;2004;reregistered
HB-JAK;EMBRAER;ERJ-145LU;E145;145387;;SWR;;2001;2002-03-31;2005;reregistered
HB-JAL;EMBRAER;ERJ-145LU;E145;145400;;SWR;;2001;2002-03-31;2005;to other opr
HB-JAM;EMBRAER;ERJ-145LU;E145;145420;;SWR;;2001;2002-03-31;2005;to other opr
HB-JAN;EMBRAER;ERJ-145LU;E145;145434;;SWR;;2001;2002-03-31;2005;to other opr
HB-JAO;EMBRAER;ERJ-145LU;E145;145456;;SWR;;2001;2002-03-31;2005;to other opr
